Date,Close
12/21/2015,14.77
12/22/2015,14.61
12/23/2015,14.3
12/24/2015,14.48
12/28/2015,14.19
12/29/2015,14.34
12/30/2015,14.16
12/31/2015,14.16
1/4/2016,14.33
1/5/2016,14.82
1/6/2016,14.22
1/7/2016,13.66
1/8/2016,13.33
1/11/2016,12.53
1/12/2016,12.72
1/13/2016,12.06
1/14/2016,12.02
1/15/2016,11.08
1/19/2016,10.8
1/20/2016,10.05
1/21/2016,10.85
1/22/2016,11.07
1/25/2016,10.48
1/26/2016,10.55
1/27/2016,10.39
1/28/2016,9.89
1/29/2016,11.03
2/1/2016,10.96
2/2/2016,10.59
2/3/2016,10.76
2/4/2016,11.23
2/5/2016,11
2/8/2016,10.17
2/9/2016,9.98
2/10/2016,9.9
2/11/2016,9.69
2/12/2016,10.02
2/16/2016,10.81
2/17/2016,11.43
2/18/2016,11.49
2/19/2016,11.16
2/22/2016,11.05
2/23/2016,10.49
2/24/2016,10.64
2/25/2016,10.72
2/26/2016,10.7
2/29/2016,10.63
3/1/2016,11.07
3/2/2016,11.68
3/3/2016,11.79
3/4/2016,11.88
3/7/2016,11.58
3/8/2016,10.66
3/9/2016,10.81
3/10/2016,10.88
3/11/2016,11.39
3/14/2016,11.15
3/15/2016,10.85
3/16/2016,10.72
3/17/2016,10.87
3/18/2016,11.14
3/21/2016,11.53
3/22/2016,11.44
3/23/2016,10.65
3/24/2016,10.5
3/28/2016,10.38
3/29/2016,10.45
3/30/2016,10.48
3/31/2016,10.47
4/1/2016,11.03
4/4/2016,10.8
4/5/2016,10.4
4/6/2016,10.47
4/7/2016,10.51
4/8/2016,10.72
4/11/2016,10.45
4/12/2016,10.17
4/13/2016,10.88
4/14/2016,10.4
4/15/2016,10.69
4/18/2016,10.89
4/19/2016,10.72
4/20/2016,10.75
4/21/2016,10.65
4/22/2016,10.66
4/25/2016,10.55
4/26/2016,11.51
4/27/2016,11.56
4/28/2016,11.62
4/29/2016,10.75
5/2/2016,10.62
5/3/2016,10.36
5/4/2016,10
5/5/2016,10.06
5/6/2016,9.99
5/9/2016,9.87
5/10/2016,10.09
5/11/2016,10.1
5/12/2016,9.63
5/13/2016,9.56
5/16/2016,9.68
5/17/2016,9.67
5/18/2016,10.05
5/19/2016,10.07
5/20/2016,10.8
5/23/2016,11.14
5/24/2016,11.49
5/25/2016,11.6
5/26/2016,11.95
5/27/2016,12.31
5/31/2016,12.72
6/1/2016,13.09
6/2/2016,13.11
6/3/2016,12.86
6/6/2016,12.77
6/7/2016,13
6/8/2016,12.58
6/9/2016,12.51
6/10/2016,12.14
6/13/2016,12.05
6/14/2016,11.92
6/15/2016,12.02
6/16/2016,11.95
6/17/2016,12.2
6/20/2016,12.32
6/21/2016,12.75
6/22/2016,12.72
6/23/2016,14.05
6/24/2016,13.21
6/27/2016,12.23
6/28/2016,12.99
6/29/2016,13.19
6/30/2016,13.76
7/1/2016,12.5
7/5/2016,11.91
7/6/2016,11.73
7/7/2016,12.2
7/8/2016,12.62
7/11/2016,12.64
7/12/2016,13.23
7/13/2016,13.29
7/14/2016,13.29
7/15/2016,13.13
7/18/2016,13.34
7/19/2016,13.22
7/20/2016,13.59
7/21/2016,13.18
7/22/2016,13.13
7/25/2016,13.92
7/26/2016,14.67
7/27/2016,14.19
7/28/2016,13.81
7/29/2016,13.74
8/1/2016,13.56
8/2/2016,13.4
8/3/2016,13.51
8/4/2016,14.03
8/5/2016,14.52
8/8/2016,14.42
8/9/2016,14.48
8/10/2016,14.2
8/11/2016,14.43
8/12/2016,14.93
8/15/2016,15.53
8/16/2016,15.49
8/17/2016,15.52
8/18/2016,15.77
8/19/2016,16.25
8/22/2016,16.19
8/23/2016,16.18
8/24/2016,15.51
8/25/2016,16.2
8/26/2016,16.51
8/29/2016,16.91
8/30/2016,16.74
8/31/2016,16.49
9/1/2016,16.64
9/2/2016,16.7
9/6/2016,17.01
9/7/2016,17.16
9/8/2016,17.45
9/9/2016,16.81
9/12/2016,17.15
9/13/2016,16.75
9/14/2016,16.93
9/15/2016,17.45
9/16/2016,17.48
9/19/2016,16.95
9/20/2016,16.92
9/21/2016,17.66
9/22/2016,17.59
9/23/2016,17.48
9/26/2016,17.36
9/27/2016,18
9/28/2016,17.44
9/29/2016,17.54
9/30/2016,17.78
10/3/2016,17.73
10/4/2016,17.8
10/5/2016,17.7
10/6/2016,17.73
10/7/2016,17.61
10/10/2016,17.5
10/11/2016,16.86
10/12/2016,16.78
10/13/2016,16.85
10/14/2016,17.13
10/17/2016,16.99
10/18/2016,17.41
10/19/2016,17.22
10/20/2016,17.2
10/21/2016,16.94
10/24/2016,17.06
10/25/2016,17.54
10/26/2016,17.64
10/27/2016,17.53
10/28/2016,17.2
10/31/2016,17.16
11/1/2016,16.98
11/2/2016,16.68
11/3/2016,16.62
11/4/2016,16.68
11/7/2016,17.38
11/8/2016,17.41
11/9/2016,17.2
11/10/2016,16.99
11/11/2016,17.67
11/14/2016,17.71
11/15/2016,18.1
11/16/2016,18.24
11/17/2016,19.18
11/18/2016,19.21
11/21/2016,19.49
11/22/2016,19.74
11/23/2016,19.91
11/25/2016,20.13
11/28/2016,19.99
11/29/2016,19.42
11/30/2016,19.53
12/1/2016,18.48
12/2/2016,18.79
12/5/2016,18.61
12/6/2016,19.06
12/7/2016,20.44
12/8/2016,20.66
12/9/2016,20.5
12/12/2016,20.02
12/13/2016,20.13
12/14/2016,20.02
12/15/2016,20.29
12/16/2016,20.27
12/19/2016,20.35
12/20/2016,20.65
12/21/2016,20.58
12/22/2016,23.19
12/23/2016,23.26
12/27/2016,23.3
12/28/2016,22.78
12/29/2016,22.27
12/30/2016,21.92
1/3/2017,22.55
1/4/2017,22.36
1/5/2017,22.11
1/6/2017,22.04
1/9/2017,22.34
1/10/2017,22.48
1/11/2017,22.79
1/12/2017,22.31
1/13/2017,22.18
1/17/2017,21.74
1/18/2017,22.32
1/19/2017,21.71
1/20/2017,21.96
1/23/2017,21.89
1/24/2017,22.85
1/25/2017,23.56
1/26/2017,23.52
1/27/2017,23.97
1/30/2017,24.18
1/31/2017,24.11
2/1/2017,24.75
2/2/2017,24.79
2/3/2017,24.6
2/6/2017,24.34
2/7/2017,24.6
2/8/2017,24.21
2/9/2017,24.45
2/10/2017,24.05
2/13/2017,23.9
2/14/2017,23.12
2/15/2017,23.02
2/16/2017,22.98
2/17/2017,23.35
2/21/2017,23.77
2/22/2017,23.75
2/23/2017,23.48
2/24/2017,23.24
2/27/2017,23.76
2/28/2017,23.44
3/1/2017,24.55
3/2/2017,24.7
3/3/2017,25.57
3/6/2017,25.71
3/7/2017,25.64
3/8/2017,25.38
3/9/2017,25.15
3/10/2017,25.18
3/13/2017,25.7
3/14/2017,25.58
3/15/2017,26.12
3/16/2017,26.04
3/17/2017,25.8
3/20/2017,26.21
3/21/2017,25.52
3/22/2017,26.06
3/23/2017,26.47
3/24/2017,28.43
3/27/2017,28.76
3/28/2017,28.69
3/29/2017,28.5
3/30/2017,28.97
3/31/2017,28.9
4/3/2017,28.64
4/4/2017,28.59
4/5/2017,28.26
4/6/2017,28.62
4/7/2017,28.52
4/10/2017,27.64
4/11/2017,27.18
4/12/2017,26.69
4/13/2017,26.74
4/17/2017,27.13
4/18/2017,27.14
4/19/2017,27.26
4/20/2017,27.96
4/21/2017,27.32
4/24/2017,26.57
4/25/2017,26.99
4/26/2017,26.79
4/27/2017,27.63
4/28/2017,27.67
5/1/2017,28.29
5/2/2017,27.77
5/3/2017,28
5/4/2017,27.79
5/5/2017,28.2
5/8/2017,28.06
5/9/2017,28.81
5/10/2017,29.32
5/11/2017,29.03
5/12/2017,28.93
5/15/2017,28.83
5/16/2017,29.02
5/17/2017,27
5/18/2017,27.48
5/19/2017,27.82
5/22/2017,28.06
5/23/2017,28.29
5/24/2017,28.99
5/25/2017,29.43
5/26/2017,29.76
5/30/2017,30.7
5/31/2017,30.77
6/1/2017,30.76
6/2/2017,31.21
6/5/2017,31.21
6/6/2017,31.57
6/7/2017,32.5
6/8/2017,32.45
6/9/2017,30.6
6/12/2017,31.2
6/13/2017,31.54
6/14/2017,31.06
6/15/2017,30.56
6/16/2017,29.86
6/19/2017,31.2
6/20/2017,30.83
6/21/2017,32.01
6/22/2017,31.89
6/23/2017,31.73
6/26/2017,32.5
6/27/2017,31.66
6/28/2017,32.24
6/29/2017,31.47
6/30/2017,29.86
7/3/2017,29.14
7/5/2017,30.51
7/6/2017,30.1
7/7/2017,30.2
7/10/2017,30.5
7/11/2017,31.37
7/12/2017,31.45
7/13/2017,31.13
7/14/2017,31.79
7/17/2017,31.72
7/18/2017,31.9
7/19/2017,31.82
7/20/2017,32
7/21/2017,32.01
7/24/2017,31.67
7/25/2017,29.9
7/26/2017,29.81
7/27/2017,30.24
7/28/2017,29.28
7/31/2017,28.12
8/1/2017,28.34
8/2/2017,28.63
8/3/2017,27.83
8/4/2017,27.92
8/7/2017,28.59
8/8/2017,28.84
8/9/2017,28.58
8/10/2017,27.49
8/11/2017,28.01
8/14/2017,29.24
8/15/2017,29.68
8/16/2017,30.69
8/17/2017,29.62
8/18/2017,30.38
8/21/2017,29.56
8/22/2017,30.45
8/23/2017,30.45
8/24/2017,30.22
8/25/2017,30.29
8/28/2017,31.08
8/29/2017,31.48
8/30/2017,31.61
8/31/2017,31.97
9/1/2017,32.6
9/5/2017,32.07
9/6/2017,32.25
9/7/2017,32.79
9/8/2017,32.45
9/11/2017,33.44
9/12/2017,34.29
9/13/2017,34.59
9/14/2017,34.58
9/15/2017,34.65
9/18/2017,35.43
9/19/2017,35.95
9/20/2017,35.97
9/21/2017,35.91
9/22/2017,36.07
9/25/2017,34.87
9/26/2017,34.18
9/27/2017,37.09
9/28/2017,37.96
9/29/2017,39.33
10/2/2017,40.01
10/3/2017,40.37
10/4/2017,39.56
10/5/2017,39.37
10/6/2017,39.67
10/9/2017,40.96
10/10/2017,41.98
10/11/2017,41.61
10/12/2017,40.58
10/13/2017,40.4
10/16/2017,41.49
10/17/2017,40.39
10/18/2017,41.65
10/19/2017,41.31
10/20/2017,41.5
10/23/2017,41.56
10/24/2017,41.6
10/25/2017,41.06
10/26/2017,40.6
10/27/2017,40.85
10/30/2017,41.65
10/31/2017,44.31
11/1/2017,44.38
11/2/2017,44.34
11/3/2017,43.71
11/6/2017,43.25
11/7/2017,43.95
11/8/2017,44.09
11/9/2017,43.5
11/10/2017,44.78
11/13/2017,45.6
11/14/2017,45.8
11/15/2017,45.36
11/16/2017,46.18
11/17/2017,46.16
11/20/2017,47.64
11/21/2017,49.4
11/22/2017,49.14
11/24/2017,49.68
11/27/2017,48.05
11/28/2017,47.93
11/29/2017,43.74
11/30/2017,42.39
12/1/2017,41.99
12/4/2017,39.9
12/5/2017,41.21
12/6/2017,41.58
12/7/2017,43.2
12/8/2017,43.21
12/11/2017,43.01
12/12/2017,41.86
12/13/2017,42.05
12/14/2017,42.24
12/15/2017,42.4
12/18/2017,43.71
12/19/2017,43.98
12/20/2017,45.75
12/21/2017,44.42
12/22/2017,44.12
12/26/2017,42.25
12/27/2017,42.48
12/28/2017,41.81
12/29/2017,41.12
1/2/2018,43.67
1/3/2018,44.98
1/4/2018,46.88
1/5/2018,45.8
1/8/2018,45.55
1/9/2018,42.97
1/10/2018,43.31
1/11/2018,42.82
1/12/2018,42.81
1/16/2018,42.92
1/17/2018,44.26
1/18/2018,43.99
1/19/2018,42.75
1/22/2018,42.88
1/23/2018,43.95
1/24/2018,43.08
1/25/2018,43.01
1/26/2018,43.67
1/29/2018,43.29
1/30/2018,41.67
1/31/2018,43.72
2/1/2018,42.49
2/2/2018,40.82
2/5/2018,39.4
2/6/2018,43.88
2/7/2018,42.01
2/8/2018,40
2/9/2018,40.41
2/12/2018,42.19
2/13/2018,42.63
2/14/2018,43.45
2/15/2018,43.5
2/16/2018,44.21
2/20/2018,44.9
2/21/2018,44.54
2/22/2018,44.25
2/23/2018,46.53
2/26/2018,47.98
2/27/2018,48.58
2/28/2018,48.81
3/1/2018,47.62
3/2/2018,49.11
3/5/2018,52.03
3/6/2018,53.74
3/7/2018,53.97
3/8/2018,55.22
3/9/2018,54.59
3/12/2018,59.37
3/13/2018,59.43
3/14/2018,59.78
3/15/2018,58.84
3/16/2018,60.58
3/19/2018,60.14
3/20/2018,61.15
3/21/2018,61.07
3/22/2018,58.92
3/23/2018,54.21
3/26/2018,55.56
3/27/2018,52.4
3/28/2018,51.49
3/29/2018,52.14
4/2/2018,50.06
4/3/2018,51.55
4/4/2018,53.39
4/5/2018,49.84
4/6/2018,48.46
4/9/2018,47.96
4/10/2018,50.48
4/11/2018,50.48
4/12/2018,52.59
4/13/2018,52.23
4/16/2018,51.65
4/17/2018,52.26
4/18/2018,54.01
4/19/2018,51.42
4/20/2018,50.62
4/23/2018,49.02
4/24/2018,47.11
4/25/2018,47.6
4/26/2018,50.14
4/27/2018,47.52
4/30/2018,45.98
5/1/2018,46.79
5/2/2018,45.89
5/3/2018,46.62
5/4/2018,47.58
5/7/2018,48.48
5/8/2018,48.57
5/9/2018,51.01
5/10/2018,52.66
5/11/2018,51.82
5/14/2018,53
5/15/2018,54.01
5/16/2018,56.5
5/17/2018,54.7
5/18/2018,53.39
5/21/2018,55.48
5/22/2018,59.03
5/23/2018,59.97
5/24/2018,61.49
5/25/2018,61.35
5/29/2018,62.62
5/30/2018,62.57
5/31/2018,57.59
6/1/2018,58.74
6/4/2018,59.1
6/5/2018,59.41
6/6/2018,59.42
6/7/2018,59.63
6/8/2018,61.39
6/11/2018,61.39
6/12/2018,60.55
6/13/2018,60.05
6/14/2018,59.18
6/15/2018,58.23
6/18/2018,58.45
6/19/2018,59.25
6/20/2018,58.95
6/21/2018,59.44
6/22/2018,57.1
6/25/2018,53.16
6/26/2018,54.59
6/27/2018,52.26
6/28/2018,53.14
6/29/2018,52.44
7/2/2018,54.48
7/3/2018,51.48
7/5/2018,52.84
7/6/2018,53.23
7/9/2018,54.31
7/10/2018,55.74
7/11/2018,54.18
7/12/2018,55.45
7/13/2018,56.35
7/16/2018,56.15
7/17/2018,56.96
7/18/2018,57.45
7/19/2018,56.22
7/20/2018,55.02
7/23/2018,54.29
7/24/2018,53.17
7/25/2018,53.39
7/26/2018,53.76
7/27/2018,53.96
7/30/2018,53.01
7/31/2018,52.79
8/1/2018,52.29
8/2/2018,53.4
8/3/2018,52.81
8/6/2018,52.67
8/7/2018,53.04
8/8/2018,53.39
8/9/2018,52.26
8/10/2018,51.37
8/13/2018,51.34
8/14/2018,50.62
8/15/2018,47.49
8/16/2018,47.1
8/17/2018,47.11
8/20/2018,48.07
8/21/2018,49.94
8/22/2018,50.24
8/23/2018,49.7
8/24/2018,50.7
8/27/2018,52.07
8/28/2018,52.34
8/29/2018,51.83
8/30/2018,52.76
8/31/2018,52.52
9/4/2018,51.93
9/5/2018,49.54
9/6/2018,44.65
9/7/2018,44.86
9/10/2018,44.9
9/11/2018,43.6
9/12/2018,41.74
9/13/2018,43.62
9/14/2018,44.3
9/17/2018,43.58
9/18/2018,45.33
9/19/2018,45.06
9/20/2018,46.06
9/21/2018,44.74
9/24/2018,45.16
9/25/2018,44.64
9/26/2018,44.35
9/27/2018,44.99
9/28/2018,45.23
10/1/2018,45.15
10/2/2018,45.76
10/3/2018,45.15
10/4/2018,44.16
10/5/2018,43.58
10/8/2018,43.07
10/9/2018,42.27
10/10/2018,41.61
10/11/2018,41.97
10/12/2018,42.47
10/15/2018,42.34
10/16/2018,43.21
10/17/2018,42.35
10/18/2018,41.3
10/19/2018,40.45
10/22/2018,39.76
10/23/2018,38.68
10/24/2018,35.43
10/25/2018,36.78
10/26/2018,35.4
10/29/2018,34.66
10/30/2018,36.01
10/31/2018,37.72
11/1/2018,40.12
11/2/2018,40.32
11/5/2018,39.92
11/6/2018,39.8
11/7/2018,40.93
11/8/2018,40.44
11/9/2018,39.11
11/12/2018,37.44
11/13/2018,37.85
11/14/2018,38.03
11/15/2018,39.91
11/16/2018,39.44
11/19/2018,36.83
11/20/2018,36.12
11/21/2018,36.38
11/23/2018,36.4
11/26/2018,36.57
11/27/2018,37
11/28/2018,38.71
11/29/2018,37.91
11/30/2018,38.56
12/3/2018,40.03
12/4/2018,36.88
12/6/2018,37.67
12/7/2018,35.31
12/10/2018,34.8
12/11/2018,35.21
12/12/2018,36.03
12/13/2018,35.02
12/14/2018,34.2
12/17/2018,33.88
12/18/2018,34.11
12/19/2018,31.41
12/20/2018,31.28
12/21/2018,30.32
12/24/2018,29.02
12/26/2018,30.89
12/27/2018,31.93
12/28/2018,31.57
12/31/2018,31.73
1/2/2019,32.75
1/3/2019,31
1/4/2019,32.7
1/7/2019,34
1/8/2019,33.74
1/9/2019,35.44
1/10/2019,35.91
1/11/2019,36.01
1/14/2019,34.67
1/15/2019,33.99
1/16/2019,33.58
1/17/2019,33.88
1/18/2019,35.76
1/22/2019,33.87
1/23/2019,34.24
1/24/2019,36.59
1/25/2019,38.96
1/28/2019,38.08
1/29/2019,37.39
1/30/2019,38.24
1/31/2019,38.22
2/1/2019,39.6
2/4/2019,39.47
2/5/2019,39.37
2/6/2019,41.52
2/7/2019,39.38
2/8/2019,38.58
2/11/2019,38.58
2/12/2019,40.4
2/13/2019,41.68
2/14/2019,42.23
2/15/2019,41.99
2/19/2019,41.96
2/20/2019,42.21
2/21/2019,41.53
2/22/2019,42.57
2/25/2019,42.75
2/26/2019,42.96
2/27/2019,41.32
2/28/2019,40.88
3/1/2019,41.58
3/4/2019,41.06
3/5/2019,39.99
3/6/2019,37.93
3/7/2019,37.83
3/8/2019,38.65
3/11/2019,39.03
3/12/2019,39.25
3/13/2019,38.83
3/14/2019,38.41
3/15/2019,39.54
3/18/2019,39.61
3/19/2019,40.37
3/20/2019,40.13
3/21/2019,43.99
3/22/2019,41.62
3/25/2019,40.55
3/26/2019,40.32
3/27/2019,39.23
3/28/2019,39.34
3/29/2019,41.33
4/1/2019,42.25
4/2/2019,42.44
4/3/2019,43.9
4/4/2019,42.89
4/5/2019,43.32
4/8/2019,42.9
4/9/2019,41.72
4/10/2019,42.17
4/11/2019,42.28
4/12/2019,42.01
4/15/2019,41.82
4/16/2019,42.76
4/17/2019,43.15
4/18/2019,43.4
4/22/2019,43.4
4/23/2019,42.77
4/24/2019,43.03
4/25/2019,42.75
4/26/2019,42.1
4/29/2019,42.11
4/30/2019,42.06
5/1/2019,41.9
5/2/2019,42.56
5/3/2019,43.33
5/6/2019,42.13
5/7/2019,40.26
5/8/2019,39.75
5/9/2019,39.27
5/10/2019,38.94
5/13/2019,37.38
5/14/2019,38.51
5/15/2019,38.41
5/16/2019,37.31
5/17/2019,36.06
5/20/2019,34.62
5/21/2019,35.64
5/22/2019,34.73
5/23/2019,33.82
5/24/2019,34
5/28/2019,32.94
5/29/2019,33.29
5/30/2019,33.32
5/31/2019,32.61
6/3/2019,32.69
6/4/2019,34.49
6/5/2019,33.34
6/6/2019,33.47
6/7/2019,33.99
6/10/2019,34.94
6/11/2019,34.84
6/12/2019,32.96
6/13/2019,33.38
6/14/2019,32.66
6/17/2019,32.43
6/18/2019,34.29
6/19/2019,33.94
6/20/2019,34.15
6/21/2019,33.25
6/24/2019,33.19
6/25/2019,32.68
6/26/2019,37.04
6/27/2019,38.07
6/28/2019,38.59
7/1/2019,40.11
7/2/2019,39.6
7/3/2019,39.59
7/5/2019,39.42
7/8/2019,40.41
7/9/2019,41.35
7/10/2019,42.9
7/11/2019,43.48
7/12/2019,44.51
7/15/2019,44.4
7/16/2019,43.06
7/17/2019,43.37
7/18/2019,44.67
7/19/2019,45.52
7/22/2019,47.19
7/23/2019,46.95
7/24/2019,47.99
7/25/2019,47.77
7/26/2019,47.49
7/29/2019,46.82
7/30/2019,47.46
7/31/2019,44.89
8/1/2019,43.6
8/2/2019,44.08
8/5/2019,41.94
8/6/2019,42.62
8/7/2019,41.75
8/8/2019,42.63
8/9/2019,41.52
8/12/2019,42.13
8/13/2019,44.17
8/14/2019,42.04
8/15/2019,42.24
8/16/2019,43.55
8/19/2019,45.01
8/20/2019,44.23
8/21/2019,44.17
8/22/2019,44.78
8/23/2019,42.96
8/26/2019,43.43
8/27/2019,42.44
8/28/2019,43.15
8/29/2019,44.67
